Time;ET0;Rn;soilT;airT;Hsoil;Vel Viento;HR aire;Pp
01-05-2017;3.38;13.34;293.47;286.05;0.26;2.68;72.86;0.00
02-05-2017;3.47;12.68;295.24;288.06;0.24;2.53;72.83;0.00
03-05-2017;3.06;10.82;292.19;287.10;0.34;2.81;72.54;0.00
04-05-2017;2.76;10.49;292.38;286.23;0.27;2.34;75.59;0.00
05-05-2017;3.38;13.10;293.56;287.27;0.30;2.59;74.94;0.00
06-05-2017;3.69;13.34;294.61;288.70;0.27;2.28;71.57;0.00
07-05-2017;2.07;7.27;293.27;286.12;0.23;2.39;78.48;0.00
08-05-2017;3.53;13.61;292.03;287.28;0.33;2.54;73.64;0.00
09-05-2017;3.33;11.96;293.11;287.47;0.26;2.40;70.70;0.00
10-05-2017;3.87;15.14;293.48;287.10;0.30;2.28;71.39;0.00
11-05-2017;2.76;9.85;294.69;288.25;0.26;2.29;77.17;0.00
12-05-2017;3.10;10.08;293.79;286.81;0.23;2.72;67.03;0.00
13-05-2017;3.81;14.22;293.03;288.37;0.33;2.51;72.57;0.00
14-05-2017;3.49;12.64;292.69;287.55;0.25;2.83;71.15;0.00
15-05-2017;3.57;14.88;293.18;286.14;0.34;2.35;75.31;0.00
16-05-2017;3.36;10.77;294.90;289.14;0.27;2.49;68.80;0.00
17-05-2017;3.77;13.17;293.37;286.56;0.24;2.48;62.37;0.00
18-05-2017;3.43;13.88;292.44;286.95;0.32;3.00;76.65;0.00
19-05-2017;3.26;12.94;292.95;286.52;0.28;2.78;75.47;0.00
20-05-2017;2.49;8.73;293.14;286.77;0.37;2.45;75.57;0.00
21-05-2017;3.97;13.98;295.23;288.77;0.27;2.27;67.49;0.00
22-05-2017;3.94;13.45;293.50;287.40;0.33;2.92;63.62;0.00
23-05-2017;3.33;12.65;293.15;287.58;0.31;2.48;75.02;0.00
24-05-2017;3.12;12.19;292.80;286.64;0.35;2.57;75.72;0.00
25-05-2017;4.72;17.10;293.85;288.23;0.35;2.84;63.61;0.00
26-05-2017;3.34;11.77;294.56;287.97;0.26;2.25;70.63;0.00
27-05-2017;3.52;13.11;294.41;287.66;0.40;2.53;72.41;0.00
28-05-2017;3.99;15.22;293.59;288.29;0.31;2.64;72.83;0.00
29-05-2017;3.44;13.17;293.16;287.60;0.32;2.74;74.82;0.00
30-05-2017;4.38;14.99;293.49;288.83;0.32;2.15;61.44;0.00
31-05-2017;4.12;13.62;294.81;289.07;0.26;2.57;64.03;0.44
01-06-2017;4.11;13.36;294.93;288.83;0.38;2.60;62.42;0.00
02-06-2017;3.45;13.01;293.77;288.09;0.30;2.53;74.93;0.00
03-06-2017;2.73;8.97;293.05;287.54;0.30;2.34;71.64;0.00
04-06-2017;3.77;14.13;294.43;288.31;0.31;2.46;72.79;0.00
05-06-2017;4.06;14.87;295.59;288.69;0.26;2.59;70.49;0.00
