Time;ET0;Rn;soilT;airT;Hum vol suelo;Vel Viento;HR aire;Pp
8-19-2015 20:00;0.442;0;291.693;286.241;0.334;2.24;79.322;0
8-20-2015 20:00;1.276;4.941;288.314;284.192;0.321;1.893;85.835;0
8-21-2015 20:00;2.424;8.381;288.505;286.403;0.323;2.158;73.784;0
8-22-2015 20:00;2.412;8.153;289.487;286.811;0.324;1.944;72.714;0
8-23-2015 20:00;2.412;9.595;290.554;286.368;0.325;2.719;81.58;0
8-24-2015 20:00;2.125;7.518;290.766;286.281;0.322;1.945;76.979;0
8-25-2015 20:00;2.703;8.061;290.156;288.069;0.319;2.001;66.295;0
8-26-2015 20:00;4.083;7.325;291.718;293.142;0.322;2.114;38.175;0
8-27-2015 20:00;2.446;8.355;291.385;287.126;0.316;2.59;76.129;0
8-28-2015 20:00;2.262;9.152;291.021;286.16;0.312;2.122;82.862;0
8-29-2015 20:00;1.805;6.027;291.327;287.083;0.313;1.711;78.487;0
8-30-2015 20:00;2.065;7.97;291.308;286.552;0.313;1.687;82.141;0
8-31-2015 20:00;2.114;7.239;291.961;287.365;0.315;1.67;76.596;0
01-09-2015 20:00;2.787;10.025;292.168;287.642;0.315;2.35;75.943;0
02-09-2015 20:00;2.322;8.23;292.563;287.417;0.314;1.984;77.804;0
03-09-2015 20:00;2.337;7.94;292.66;287.642;0.313;1.976;75.946;0
04-09-2015 20:00;2.227;8.28;291.891;286.449;0.309;2.211;79.56;0
05-09-2015 20:00;2.615;7.755;292.589;287.927;0.311;2.346;69.161;0
06-09-2015 21:00;3.125;10.305;292.672;288.149;0.31;1.909;66.875;0
07-09-2015 21:00;2.786;9.922;291.801;287.246;0.304;2.234;74.089;0
08-09-2015 21:00;2.516;10.318;292.222;286.576;0.303;2.393;82.733;0
09-09-2015 21:00;3.182;11.068;292.909;288.473;0.305;2.157;72.09;0
10-09-2015 21:00;3.749;9.486;292.971;290.447;0.302;2.223;53.321;0
11-09-2015 21:00;3.037;9.55;292.588;288.284;0.297;2.145;66.847;0
12-09-2015 21:00;4.013;9.731;292.99;291.149;0.296;2.262;50.275;0
9-13-2015 21:00;2.957;11.212;293.123;287.371;0.294;2.865;77.495;0
9-14-2015 21:00;2.646;10.478;292.46;286.645;0.29;2.632;80.167;0
9-15-2015 21:00;2.809;10.014;292.494;286.848;0.29;2.438;73.548;0
9-16-2015 21:00;3.07;10.984;292.26;286.716;0.29;2.372;70.711;0
9-17-2015 21:00;3.115;12.143;292.224;286.897;0.288;2.518;76.301;0
9-18-2015 21:00;2.609;9.333;292.677;287.496;0.289;2.422;77.042;0
9-19-2015 21:00;2.986;11.418;293.297;287.645;0.291;2.923;78.399;0
9-20-2015 21:00;2.935;9.812;293.824;287.62;0.292;2.745;72.059;0
9-21-2015 21:00;3.112;11.272;292.865;286.759;0.288;2.439;71.379;0
9-22-2015 21:00;3.044;11.331;292.545;286.675;0.285;2.494;73.465;0
9-23-2015 21:00;3.145;11.048;292.476;286.978;0.283;2.068;68.347;0
9-24-2015 21:00;3.317;11.28;292.418;287.106;0.282;2.472;66.849;0
9-25-2015 21:00;3.132;11.002;292.73;287.17;0.283;2.43;70.524;0
9-26-2015 21:00;3.568;11.284;292.959;288.508;0.284;2.566;64.704;0
9-27-2015 21:00;3.085;9.292;292.912;288.505;0.397;2.598;67.347;0
9-28-2015 21:00;2.767;9.924;293.343;288.055;0.417;2.256;76.727;0
9-29-2015 21:00;3.006;10.318;294.02;289.015;0.387;2.25;74.544;0
9-30-2015 21:00;2.973;9.809;294.627;289.387;0.366;2.137;73.044;0
01-10-2015 21:00;3.703;12.915;294.44;289.405;0.347;2.65;72.009;0
02-10-2015 21:00;3.218;11.664;294.891;288.579;0.366;2.372;75.314;0
03-10-2015 21:00;3.419;12.784;294.56;288.264;0.367;2.753;75.425;0
04-10-2015 21:00;3.809;12.389;294.286;289.557;0.34;2.298;65.805;0
05-10-2015 21:00;2.9;9.832;294.091;288.141;0.322;2.45;73.352;0
06-10-2015 21:00;3.446;12.306;293.827;287.454;0.309;2.636;70.08;0
07-10-2015 21:00;3.497;12.236;293.321;287.251;0.297;2.738;68.148;0
08-10-2015 21:00;3.487;12.079;294.035;287.538;0.292;2.659;68.235;0
09-10-2015 21:00;3.481;12.993;293.623;286.396;0.283;2.347;68.559;0
10-10-2015 21:00;3.33;12.677;293.274;286.6;0.277;2.315;71.851;0
11-10-2015 21:00;3.62;13.934;294.039;287.637;0.276;2.955;74.197;0
12-10-2015 21:00;3.796;13.253;294.988;288.115;0.276;2.502;67.192;0
10-13-2015 21:00;3.452;11.522;294.364;287.686;0.27;2.184;64.623;0
10-14-2015 21:00;3.579;13.145;293.933;286.847;0.266;2.04;66.938;0
10-15-2015 21:00;3.375;13.343;293.472;286.053;0.263;2.676;72.861;0
10-16-2015 21:00;3.691;13.335;294.614;288.698;0.265;2.278;71.572;0
10-17-2015 21:00;2.757;9.853;294.685;288.253;0.263;2.286;77.166;0
10-18-2015 21:00;3.361;10.774;294.903;289.137;0.265;2.494;68.797;0
10-19-2015 21:00;3.973;13.977;295.232;288.765;0.266;2.267;67.487;0
10-20-2015 21:00;3.335;11.77;294.557;287.969;0.262;2.25;70.634;0
10-21-2015 21:00;4.118;13.624;294.814;289.065;0.263;2.574;64.031;0.437
10-22-2015 21:00;4.058;14.874;295.592;288.685;0.264;2.594;70.494;0
10-23-2015 21:00;4.068;13.545;296.77;290.359;0.267;2.361;67.926;0
10-24-2015 21:00;4.126;14.292;296.352;289.7;0.265;2.324;68.283;0
10-25-2015 21:00;4.068;14.513;296.407;289.669;0.264;2.643;71.57;0
10-26-2015 21:00;3.651;14.163;295.986;288.413;0.263;2.567;76.485;0
10-27-2015 21:00;3.114;10.903;295.784;288.981;0.339;2.094;74.265;0
10-28-2015 21:00;3.179;10.881;294.981;289.229;0.356;1.819;71.647;0
10-29-2015 21:00;3.686;12.748;295.235;289.473;0.34;2.466;71.321;0
10-30-2015 21:00;3.608;12.605;295.511;289.163;0.328;2.242;71.077;0
10-31-2015 21:00;3.106;10.224;294.736;288.644;0.312;2.534;71.463;0
01-11-2015 21:00;3.866;12.646;294.997;288.724;0.306;2.525;64.294;0
02-11-2015 21:00;4.125;14.829;295.07;288.189;0.3;1.782;63.936;0
03-11-2015 21:00;4.176;14.784;295.673;288.643;0.298;2.13;65.408;0
04-11-2015 21:00;4.129;15.53;295.772;288.389;0.292;2.253;70.501;0
05-11-2015 21:00;4.544;16.088;297.309;290.064;0.292;2.254;67.992;0
06-11-2015 21:00;3.55;12.238;296.613;289.307;0.283;2.084;70.435;0
07-11-2015 21:00;4.013;15.873;296.27;288.237;0.278;2.527;75.104;0
08-11-2015 21:00;3.554;12.211;295.821;288.942;0.272;2.432;70.395;0
09-11-2015 21:00;3.882;13.148;296.21;289.228;0.272;2.597;68.143;0
10-11-2015 21:00;4.128;15.679;295.915;287.758;0.268;2.176;68.999;0
11-11-2015 21:00;4.573;15.356;296.026;289.071;0.265;2.273;59.688;0
12-11-2015 21:00;4.369;16.057;296.319;289.222;0.262;2.463;70.016;0
11-13-2015 21:00;4.133;14.477;297.193;290.425;0.262;2.243;71.093;0
11-14-2015 21:00;3.513;11.829;296.461;290.248;0.257;2.278;72.445;0
11-15-2015 21:00;3.768;13.49;296.435;289.802;0.258;2.644;74.246;0
11-16-2015 21:00;4.142;14.428;297.054;290.171;0.26;2.346;70.115;0
11-17-2015 21:00;4.326;16.543;297.198;289.302;0.258;2.566;73.874;0
11-18-2015 21:00;4.364;15.76;296.239;288.704;0.304;2.353;66.58;0
11-19-2015 21:00;4.244;15.66;294.616;288.641;0.357;2.435;69.242;0
11-20-2015 21:00;4.078;15.068;294.451;288.589;0.324;2.197;69.898;0
11-21-2015 21:00;3.921;14.619;294.748;288.78;0.292;2.001;72.111;0
11-22-2015 21:00;3.662;12.903;295.23;289.531;0.269;2.101;71.911;0
11-23-2015 21:00;4.662;15.95;296.207;290.654;0.258;2.238;66.049;0
11-24-2015 21:00;4.475;15.164;296.192;290.93;0.248;2.376;67.969;0
11-25-2015 21:00;4.67;17.499;296.118;289.626;0.249;2.114;70.777;0
11-26-2015 21:00;5.052;17.039;296.258;290.961;0.259;2.195;62.767;0
11-27-2015 21:00;4.808;17.025;296.298;290.395;0.27;2.537;67.997;0
11-28-2015 21:00;4.811;17.478;296.778;290.294;0.273;2.231;69.37;0
11-29-2015 21:00;3.992;13.951;296.095;290.148;0.266;2.185;70.933;0
11-30-2015 21:00;4.715;17.18;296.911;290.52;0.269;2.354;71.195;0
01-12-2015 21:00;4.93;17.775;297.125;290.816;0.344;2.466;70.058;0
02-12-2015 21:00;4.514;17.512;295.575;289.538;0.379;2.212;74.944;0
03-12-2015 21:00;4.647;17.203;295.172;290.491;0.371;2.121;72.806;0
04-12-2015 21:00;4.532;16.85;295.122;290.415;0.377;2.197;73.688;0
05-12-2015 21:00;5.215;19.715;295.646;291.084;0.333;2.724;73.706;0
06-12-2015 21:00;4.957;18.97;295.675;290.709;0.36;2.604;74.975;0
07-12-2015 21:00;4.258;15.017;294.76;290.996;0.345;1.976;71.933;0
08-12-2015 21:00;4.624;15.911;294.916;291.498;0.312;2.252;69.645;0
09-12-2015 21:00;5.012;18.928;294.949;290.355;0.281;2.345;72.318;0
10-12-2015 21:00;4.267;15.812;295.173;290.29;0.256;2.061;74.423;0
11-12-2015 21:00;4.208;15.467;295.461;290.241;0.24;2.217;74.04;0
12-12-2015 21:00;4.154;14.19;295.847;290.901;0.229;1.911;69.13;0
12-13-2015 21:00;4.971;18.677;295.758;289.84;0.221;2.502;70.249;0
12-14-2015 21:00;4.472;17.106;295.883;289.814;0.214;2.162;74.761;0
12-15-2015 21:00;4.739;16.58;296.365;291.25;0.211;2.388;69.885;0
12-16-2015 21:00;4.414;15.861;296.393;290.449;0.207;2.501;71.871;0
12-17-2015 21:00;4.769;18.747;296.053;289.447;0.204;2.479;74.272;0
12-18-2015 21:00;4.474;16.124;296.41;290.558;0.202;2.057;71.337;0
12-19-2015 21:00;4.22;15.118;296.128;290.311;0.199;2.175;71.874;0
12-20-2015 21:00;5.284;19.498;297.176;290.697;0.201;2.304;69.661;0
12-21-2015 21:00;4.632;17.199;296.478;290.081;0.197;2.074;71.7;0
12-22-2015 21:00;4.981;18.79;296.499;290.316;0.197;2.596;72.243;0
12-23-2015 21:00;5.012;18.678;297.334;291.201;0.197;2.393;73.941;0
12-24-2015 21:00;5.196;19.153;297.568;291.317;0.197;2.335;72.279;0
12-25-2015 21:00;4.976;18.991;297.562;290.791;0.196;2.425;75.038;0
12-26-2015 21:00;4.872;18.271;297.36;290.607;0.195;2.209;73.297;0
12-27-2015 21:00;4.847;17.931;297.038;290.753;0.194;2.413;72.645;0
12-28-2015 21:00;5.095;17.473;297.66;292.303;0.196;2.371;69.225;0
12-29-2015 21:00;5.084;18.923;297.303;291.236;0.195;2.339;73.572;0
12-30-2015 21:00;4.944;17.927;297.542;291.652;0.195;2.141;73.019;0
12-31-2015 21:00;4.279;14.762;297.377;291.608;0.194;2.527;73.024;0
01-01-2016 21:00;4.582;16.61;296.81;290.824;0.194;2.42;72.608;0
02-01-2016 21:00;4.826;17.546;296.747;290.835;0.194;2.288;71.305;0
03-01-2016 21:00;4.831;17.253;296.682;291.148;0.195;2.288;70.65;0
04-01-2016 21:00;4.854;15.133;297.618;293.274;0.196;2.331;65.517;0
05-01-2016 21:00;5.548;18.504;297.144;293.215;0.327;2.088;65.935;0
06-01-2016 21:00;5.522;18.55;294.556;293.05;0.349;2.421;67.305;0
07-01-2016 21:00;5.798;19.416;295.801;293.589;0.299;2.473;67.299;0
08-01-2016 21:00;5.165;18.733;295.476;291.873;0.263;2.62;72.808;0
09-01-2016 21:00;4.649;15.977;295.948;292.215;0.241;2.152;71.333;0
10-01-2016 21:00;4.309;14.376;296.326;292.114;0.227;2.12;70.543;0
11-01-2016 21:00;5.37;17.864;296.805;293.003;0.247;1.993;65.621;0
12-01-2016 21:00;5.387;18.938;296.163;292.461;0.356;2.488;70.556;0
1-13-2016 21:00;5.111;17.199;295.627;293.006;0.334;2.348;69.571;0
1-14-2016 21:00;5.124;18.872;295.322;291.762;0.293;2.235;74.108;0
1-15-2016 21:00;5.256;18.793;295.777;292.406;0.263;2.229;72.505;0
1-16-2016 21:00;5.055;16.843;296.935;293.493;0.242;2.288;70.325;0
1-17-2016 21:00;4.719;16.17;297.159;293.001;0.226;2.372;73.465;0
1-18-2016 21:00;5.595;19.074;297.521;293.508;0.217;2.155;69.245;0
1-19-2016 21:00;5.547;17.885;297.656;294.115;0.309;2.097;65.444;0
1-20-2016 21:00;5.414;18.322;295.59;293.264;0.389;2.24;68.883;0
1-21-2016 21:00;5.162;17.028;295.977;293.636;0.333;2.001;68.22;0
1-22-2016 21:00;4.141;13.313;295.825;293.124;0.296;1.886;70.432;0
1-23-2016 21:00;5.456;17.593;296.672;294.145;0.269;2.305;66.964;0
1-24-2016 21:00;3.287;10.384;295.643;292.414;0.24;1.77;73.011;0
1-25-2016 21:00;5.66;18.596;297.076;294.184;0.23;2.121;67.075;0
1-26-2016 21:00;5.671;18.034;297.906;294.522;0.218;2.219;65.171;0
1-27-2016 21:00;5.358;18.043;298.345;293.991;0.21;2.291;71.145;0
1-28-2016 21:00;4.114;13.282;297.152;293.465;0.323;2.186;73.153;0
1-29-2016 21:00;5.097;17.735;296.561;293.306;0.345;2.478;73.761;0
1-30-2016 21:00;4.941;15.824;297.028;294.311;0.3;2.245;69.749;0
1-31-2016 21:00;4.876;16.105;296.957;293.6;0.267;2.092;70.304;0
01-02-2016 21:00;5.306;17.842;297.238;293.511;0.243;2.119;69.34;0
02-02-2016 21:00;4.413;14.6;297.643;293.411;0.226;1.962;72.313;0
03-02-2016 21:00;5.295;17.454;298.189;294.13;0.217;1.98;68.879;0
04-02-2016 21:00;5.062;17.222;298.216;293.181;0.21;2.205;71.082;0
05-02-2016 21:00;4.787;16.712;298.267;292.486;0.205;2.29;73.07;0
06-02-2016 21:00;4.577;15.649;297.909;292.266;0.2;2.028;71.121;0
07-02-2016 21:00;4.297;14.669;297.689;292.27;0.233;1.963;72.568;0
08-02-2016 21:00;4.185;14.242;296.834;292.153;0.299;1.677;71.586;0
09-02-2016 21:00;4.286;14.918;296.586;292.106;0.261;1.885;73.769;0
10-02-2016 21:00;4.449;14.625;296.984;293.023;0.237;2.55;72.302;0
11-02-2016 21:00;4.637;15.072;297.252;293.465;0.221;2.258;70.562;0
12-02-2016 21:00;4.6;15.255;297.696;293.318;0.212;2.079;71.505;0
2-13-2016 21:00;4.707;16.531;297.778;292.635;0.206;2.138;74.301;0
2-14-2016 21:00;4.695;16.045;297.791;292.976;0.274;2.089;72.723;0
2-15-2016 21:00;4.285;14.924;297.154;292.248;0.303;2.532;75.38;0
2-16-2016 21:00;3.878;12.981;296.488;292.12;0.266;1.898;72.979;0
2-17-2016 21:00;5.031;16.685;297.07;293.334;0.244;2.014;68.649;0
2-18-2016 21:00;4.737;16.548;296.773;292.294;0.224;2.211;72.691;0
2-19-2016 21:00;4.232;14.705;296.962;292.179;0.213;2.18;74.783;0
2-20-2016 21:00;4.865;15.349;297.68;293.808;0.209;2.266;67.647;0
2-21-2016 21:00;4.518;14.3;297.39;293.691;0.204;1.969;68.466;0
2-22-2016 21:00;5.374;16.515;298.341;295.394;0.203;2.099;65.762;0
2-23-2016 21:00;5.068;16.216;298.263;294.46;0.27;2.068;68.599;0
2-24-2016 21:00;4.694;15.937;297.774;293.859;0.302;2.453;75.285;0
2-25-2016 21:00;4.849;16.543;297.547;293.585;0.264;2.31;73.926;0
2-26-2016 21:00;4.606;15.747;297.166;293.225;0.238;2.247;74.3;0
2-27-2016 21:00;4.336;15.268;296.672;292.38;0.222;2.306;76.022;0
2-28-2016 21:00;3.625;12.483;296.447;292.177;0.213;1.936;77.256;0
2-29-2016 21:00;4.26;14.869;296.616;292.277;0.211;2.135;75.199;0
01-03-2016 21:00;4.159;15.227;295.908;291.243;0.206;2.266;77.031;0
02-03-2016 21:00;4.107;14.055;296.208;292.315;0.205;1.971;74.145;0
03-03-2016 21:00;3.236;10.844;296.031;292.176;0.203;1.87;77.561;0
04-03-2016 21:00;3.54;11.98;295.749;292.271;0.257;1.673;75.771;0
05-03-2016 21:00;4.314;13.892;295.757;293.408;0.286;2.058;70.99;0
06-03-2016 21:00;3.579;12.09;294.691;291.606;0.304;1.879;74.346;0
07-03-2016 21:00;4.226;13.645;294.857;292.53;0.316;2.251;70.207;0
08-03-2016 21:00;4.164;14.645;293.91;291.393;0.278;2.017;73.631;0
09-03-2016 21:00;3.491;12.023;293.682;291.231;0.253;1.828;75.334;0
10-03-2016 21:00;3.812;12.863;293.592;291.231;0.236;1.934;71.729;0
11-03-2016 21:00;3.771;12.147;293.494;291.587;0.225;1.541;66.495;0
12-03-2016 21:00;4.427;13.969;293.776;292.337;0.219;2.28;66.598;0
3-13-2016 21:00;3.171;10.607;294.186;291.785;0.216;1.86;76.942;0
3-14-2016 21:00;4.013;13.537;294.857;292.749;0.262;2.191;75.303;0
3-15-2016 21:00;2.101;6.019;294.173;291.781;0.3;1.685;76.801;0
3-16-2016 21:00;2.089;6.549;293.589;291.851;0.283;1.193;77.859;0
3-17-2016 21:00;2.462;8.577;292.768;290.468;0.261;1.46;80.593;0
3-18-2016 21:00;3.18;10.754;293.296;291.626;0.247;1.787;76.996;0
3-19-2016 21:00;2.948;9.589;293.077;291.416;0.234;1.59;74.438;0
3-20-2016 21:00;3.039;11.105;292.627;289.995;0.225;1.72;79.632;0
3-21-2016 21:00;2.656;9.787;292.185;289.289;0.22;1.885;81.366;0
3-22-2016 21:00;1.816;5.68;292.059;289.491;0.218;1.483;78.549;0
3-23-2016 21:00;3.453;11.904;291.952;290.523;0.217;1.413;71.6;0
3-24-2016 21:00;3.618;12.516;292.152;290.478;0.216;1.916;72.963;0
3-25-2016 21:00;3.798;12.465;293.537;292.072;0.255;1.814;71.341;0
3-26-2016 21:00;3.431;12.18;292.864;290.524;0.283;2.012;76.72;0
3-27-2016 21:00;3.74;12.357;293.058;291.718;0.262;1.699;70.702;0
3-28-2016 21:00;3.544;12.207;292.646;290.89;0.243;1.798;73.892;0
3-29-2016 21:00;3.029;10.431;292.097;290.238;0.231;1.649;75.414;0
3-30-2016 21:00;3.362;12.21;292.317;290.53;0.227;2.184;79.116;0
3-31-2016 21:00;2.997;9.744;293.422;292.247;0.228;1.674;76.485;0
01-04-2016 21:00;3.783;12.007;294.085;293.045;0.229;1.843;71.52;0
02-04-2016 21:00;1.574;4.626;293.096;290.011;0.224;1.837;81.903;0
03-04-2016 20:00;2.479;8.25;292.349;290.178;0.221;1.689;77.748;0
04-04-2016 20:00;2.357;6.269;292.94;291.56;0.223;2.1;73.5;0
05-04-2016 20:00;2.739;9.564;292.241;289.655;0.22;1.671;77.393;0
06-04-2016 20:00;3.127;11.26;292.083;289.467;0.219;1.911;76.868;0
